"src","tgt"
"A male in a black shirt , and black pants , working on the engine of an old , green antique automobile , with a yellow gas canister sitting on the grass .","Ein Mann in einem schwarzen Hemd und schwarzen Hosen , der auf dem Motor eines alten , grünen , antiken Autos arbeitet , während ein gelber Benzinkanister im Gras steht ."
"A woman in a blue jacket rides a brown pony near water .","Eine Frau in einer blauen Jacke , die in Wassernähe ein braunes Pony reitet ."
"Two horses pull a carriage driven by a woman over snow covered ground .","Zwei Pferde ziehen einen von einer Frau gelenkten Wagen über einen schneebedeckten Untergrund ."
"A person climbing down a sheer rock cliff using a rope","Eine Person klettert eine steile Felswand herunter und verwendet dazu ein Seil ."
"The group of hikers is resting in front of a mountain .","Die Wandergruppe macht vor einem Berg Rast ."
"A woman standing in front of a chalk drawing","Eine Frau steht vor einem Kalkstein und malt ."
"Three young adults are sitting around , with the girl pretending to kick one of the guys in the face while laughing , and the guy behind him looks like he 's in midsentence .","Drei junge Erwachsenen sitzen herum , wobei eine junge Frau so tut , als ob sie einem der jungen Männer ins Gesicht tritt und dabei lacht , und der junge Mann hinter sieht aus , als ob er gerade mitten im Satz ist ."
"A group of kids in class with their hands in the air .","Eine Gruppe von Kindern im Unterricht , die sich zu Wort melden ."
"A man wearing swimming trunks jumps off a concrete platform into a large body of water .","Ein Mann , der eine Badehose trägt , springt von einer Betonplattform aus in eine großes Gewässer ."
"Woman meticulously working with a sewing machine .","Eine Frau , die mit der Nähmaschine präzise arbeitet ."
"A lady in a white t @-@ shirt is looking toward the person with their arm raised in the air .","Eine Dame in einem weißen T @-@ Shirt blickt zu der Person , die ihren Arm in die Luft streckt ."
"A girl working at a farm market selling peppers .","Ein Mädchen , das auf einer Farm arbeitet und Paprika verkauft ."
"An elderly women is sitting in a chair with a cane in her hand .","Eine ältere Frau , die in einem Stuhl sitzt , mit einem Stock in ihrer Hand ."
"A boy has blown four bubbles on the lawn .","Ein Junge auf dem Rasen hat vier Blasen geblasen ."
"A little boy playing in the water .","Ein kleiner Junge spielt im Wasser ."
"Dog running out of tunnel on obstacle course","Ein Hund rennt auf der Hindernisstrecke aus dem Tunnel heraus ."
"A yellow dog and a black and white dog are running in the dirt .","Ein gelber Hund und ein schwarz @-@ weißer Hund rennen auf dem Erdboden ."
"Two men barbecuing at a beach .","Zwei Männer , die am Strand grillen ."
"A little girl in a flower print bathing suit , jumping into the ocean .","Ein kleines Mädchen in einem Badeanzug mit Blumenaufdruck springt ins Meer ."
"Little girl in blue swimsuit standing on a handrail near a beach .","Ein kleines Mädchen mit einem blauen Badeanzug , das an einem Geländer in der Nähe eines Strands steht ."
"A young Asian boy sits on a railing behind a row of colorful hats","Ein asiatischer Junge sitzt auf einem Geländer hinter einer Reihe farbenfroher Hüte ."
"A white and black dog is jumping into a pool .","Ein weißer und ein schwarzer Hund springen in einen Pool ."
"The boys smiles underwater at the pool .","Der Junge lächeln unter Wasser im Schwimmbad ."
"Two people having a discussion sitting in a restaurant .","Zwei Leute , die in einem Restaurant sitzen , diskutieren ."
"Several people are taking a break while on a snowmobiling ride .","Mehrere Leute auf einer Schneemobil @-@ Tour machen eine Pause ."
"Two people working on removing snow from a roof .","Zwei Personen arbeiten daran , den Schnee von einem Dach zu entfernen ."
"A young man wearing a black shirt takes a folding chair from a large stack .","Ein junger Mann in einem schwarzen Hemd nimmt einen Klappstuhl von einem großen Stapel ."
"A woman is walking at dusk down an urban street .","Eine Frau läuft in der Dämmerung eine städtische Straße entlang ."
"A little girl with brown hair is blowing the petals off of a flower .","Ein kleines Mädchen mit braunen Haaren bläst auf die Blütenblätter einer Blume ."
"Three people on ATV 's outside .","Drei Leute vor einem Geländewagen ."
"A man on a four wheeler is flying through the air .","Ein Mann auf einem Allradfahrzeug fliegt durch die Luft ."
"A man on a four @-@ wheeler jumps near a small building .","Ein Mann auf einem Allradfahrzeug springt in der Nähe eines kleinen Gebäudes ."
"A woman with dark hair wearing a bikini is sitting on a beach .","Eine Frau mit dunklen Haaren , die einen Bikini trägt , sitzt an einem Strand ."
"Two hands are flipping some food in a cast iron pan , with a spatula .","Zwei Hände geben mit einem Spachtel etwas Essbares in eine Eisenpfanne ."
"Two women hugging in a grassy , fenced field with a cow 's behind in the background .","Zwei Frauen , die sich auf einer eingezäunten Wiese umarmen , mit dem Hinterteil einer Kuh im Hintergrund ."
"A large ship approaching the dock with two men awaiting its arrival .","Ein großes Schiff , das auf das Dock zu fährt , wo zwei Männer seine Ankunft erwarten ."
"A man in sandals and white cardigan sits on a green bench while talking on his cellphone .","Ein Mann in Sandalen und weißer Jacke sitzt auf einer grünen Bank uns spricht am Handy ."
"A man on stage singing into a microphone .","Ein Mann auf der Bühne singt in ein Mikrophon ."
"Three guys riding on an elephant with a house @-@ like structures and trees in the background .","Drei Männer reiten auf einem Elefanten mit hausähnlichen Gebäuden und Bäumen im Hintergrund ."
"A mexican man sits under the hood of his truck .","Ein mexikanischer Mann sitzt unter der Motorhaube seines Lkws ."
"A boy in yellow glasses and red @-@ haired girl pose for the camera .","Ein Junge mit einer gelben Brille und ein rothaariges Mädchen posieren für die Kamera ."
"A group of people gather and holding different types of flags .","Eine Menschengruppe sammelt sich und hält verschieden Fahnen ."
"A white baby boy crying over a tipped over toy .","Ein weißes männliches Baby weint wegen eines umgekippten Spielzeugs ."
"Small boy carries a soccer ball on a field .","Ein kleiner Junge auf einem Fußballplatz trägt einen Fußball ."
"A woman is watching as a guy is scooping ice cream from a freezer .","Eine Frau sieht zu , wie ein Mann Eis aus einem Gefriergerät absticht ."
"A group of people are sitting on stools eating some food","Eine Gruppe sitzt auf Hockern und isst etwas ."
"People are standing around an American flag that is spread out , facing the wrong direction .","Menschen stehen um eine ausgebreitete amerikanische Fahne herum , die in die falsche Richtung zeigt ."
"A young girl painting a picture .","Ein Mädchen malt ein Bild ."
"A cyclist is riding a bicycle on a curved road up a hill .","Ein Radfahrer fährt auf einer kurvigen Straße einen Hügel hinauf ."
"A little girl in a denim jacket running through a field .","Ein kleines Mädchen in einer Jeansjacke rennt durch ein Feld ."
"Man in blue shirt and black pants is looking at his thumb on one hand while holding glasses in his other hand .","Ein Mann in blauem Hemd und blauen Hosen , der auf den Daumen einer seiner Hände blickt und in der anderen Hand Gläser hält ."
"A couple kissing while going up the escalator .","Ein küssendes Paar im Aufzug ."
"A soccer player in a green uniform with a ball in is hands is being held up by some of his teammates , while an opposing player in red reaches for the ball .","Ein Fußballspieler in grünem Fußballdress mit einem Ball in seinen Händen wird von einem seiner Teamkollegen aufgehalten , während ein Spieler der gegnerischen Mannschaft in Rot nach dem Ball greift ."
"Men are constructing a wall in the desert .","Männer bauen eine Wand in der Wüste ."
"A young group of friends adorned with face paint and feathered headbands sit on a bench .","Ein Gruppe von Freunden mit Gesichtsfarbe und Federstirnbändern sitzt auf einer Bank ."
"The lady has a black sling bag .","Die Dame hat eine schwarze Umhängetasche ."
"A man in a black jacket is standing with a group of people behind him .","Ein Mann in einem schwarzen Jackett steht vor einer Gruppe von Menschen ."
"A black dog jumping to catch a rope toy","Ein schwarzer Hund springt , um ein Seilspielzeug zu fangen ."
"A young girl is looking through an old fashioned video camera .","Ein junges Mädchen blickt durch eine altmodische Videokamera ."
"Girl in odd clothes reading a brochure while sitting on a wooden porch .","Ein Mädchen in komischer Kleidung sitzt auf einer hölzernen Veranda und liest eine Broschüre ."
"A man dressed in a funky outfit is playing guitar .","Ein Mann in einem flippigen Outfit spielt Gitarre ."
"A hockey goalie is trying to prevent a goal from the opposing team .","Ein Hockey @-@ Goalie versucht , ein Tor des gegnerischen Teams zu verhindern ."
"An adult and a child walk along the beach during the day .","Ein Erwachsener und ein Kind gehen tagsüber am Strand entlang ."
"A man in an apron sits on a curb .","Ein Mann in einer Schürze sitzt auf einer Bordsteinkante ."
"A brown and white dog jumping up to catch a Frisbee while an audience watches .","Ein braun @-@ weißer Hund springt hoch , um eine Frisbee @-@ Scheibe zu fangen , während Zuschauer zusehen ."
"Two tennis players are talking on the tennis courts .","Zwei Tennisspieler sprechen in einer Tennisanlage ."
"Two jugglers using flaming torches are performing for a crowd of people who are sitting on steps .","Zwei Jongleure mit Fackeln geben eine Vorführung für eine dichte Menschenmenge , die auf Stufen sitzt ."
"Two children running with no shoes on .","Zwei Kinder rennen , ohne Schuhe zu tragen ."
"A baby is sitting on and playing with smooth rocks .","Ein Baby sitzt auf glatten Steinen und spielt mit ihnen ."
"A boy in a Gap hat is making a silly face .","Ein Junge mit einer Gap @-@ Hut macht ein dummes Gesicht ."
"Five men , one wearing a white shirt standing on something , hanging up a picture of a child .","Fünf Männer , von denen einer ein weißes Hemd trägt , die auf etwas stehen und das Bild eines Kindes aufhängen ."
"A person in a hat is playing with a boy on a beach .","Eine Person mit Hut , die mit einem Jungen am Strand spielt ."
"A girl in a green Speedo top and blue goggles holds her breath underwater .","Ein Mädchen in grünem Speedo @-@ Oberteil und blauer Schutzbrille hält unter Wasser den Atem an ."
"Boys on a motor @-@ scooter riding down a busy urban street .","Jungen auf einem Motorroller fahren eine vielbefahrene städtische Straße entlang ."
"Two ladies and a man playing a card game and drinking beer .","Zwei Damen und ein Mann , die ein Kartenspiel spielen und Bier trinken ."
"People enjoy a gathering with Pabst Blue Ribbon and Diet Coke .","Leute genießen eine Zusammenkunft mit Pabst Blue Ribbon und Diet Coke ."
"Man with red shoes , white shirt and gray pants climbing .","Ein Mann mit roten Schuhen , weißem Hemd und grauen Hosen , der klettert ."
"A rock climber climbs a large rock .","Ein Kletterer klettert einen großen Felsen hoch ."
"A little girl playing in water on a frog sculpture .","Ein kleines Mädchen , das im Wasser auf einer Froschskulptur spielt ."
"A dog is running on the beach .","Ein Hund rennt am Strand ."
"People sitting in a restaurant eating and one is reading the paper .","Menschen , die im Restaurant sitzen und essen , und einer liest die Zeitung ."
"A girl wearing a red short and a white shirt looking through a hole .","Ein Mädchen , das rote Shorts und ein weißes Oberteil trägt und durch ein Loch blickt ."
"Black and white bird standing on hand of someone holding sunflower seeds","Ein schwarz @-@ weißer Vogel , der jemandem auf der Hand steht , der Sonnenblumenkerne hält ."
"A woman in a white shirt and pink skirt is about to hit a tennis ball .","Eine Frau in einem weißen Oberteil und rosafarbenen Rock ist kurz davor , einen Tennisball zu schlagen ."
"A dog is standing in the sand .","Ein Hund steht im Sand ."
"This is a man standing on a rooftop with construction in the background .","Dies ist ein Mann , der auf einem Dach steht , mit Bauarbeiten im Hintergrund ."
"A man looks through a large camera @-@ like device in a field near a camper and some parked vehicles .","Ein Mann blickt durch ein großes , kameraähnliches Gerät in ein Feld in der Nähe eines Wohnmobils und einiger geparkter Fahrzeuge ."
"A little boy stands in the surf .","Ein kleiner Junge steht in der Brandung ."
"A woman in Muslim attire is walking with a young boy down the street .","Eine Frau mit muslimischer Bekleidung läuft mit einem Jungen die Straße entlang ."
"The small dog is running across the lawn .","Der kleine Hund rennt über den Rasen ."
"A woman is jogging on a sidewalk next to an elevated grassy platform .","Eine Frau joggt auf einem Gehweg neben einer erhöhten grasbewachsenen Plattform ."
"A man in red pants jumping on a park table .","Ein Mann in roten Hosen , der auf einen Parktisch springt ."
"A dog with its mouth open running through a field torwards the camera .","Ein Hund mit offenem Maul , der durch ein Feld auf die Kamera zu rennt ."
"Smiling little girl swimming in outdoor pool .","Ein lächelndes kleines Mädchen , das in einem Pool im Freien schwimmt ."
"A bike sitting in a street with a rope tied to it and a guy walking on the rope .","Ein Motorrad in einer Straße , an das ein Seil gebunden ist , und ein Mann , der auf dem Seil geht ."
"A man and child on a ship doing maintenance .","Ein Mann und ein Kind auf einem Schiff bei Wartungsarbeiten ."
"A small child doing a handstand on a bed .","Ein Kleinkind , das auf einem Bett Handstand macht ."
"Men wearing orange safety vest are working on street repairs .","Männer mit orangefarbenen Schutzwesten führen Straßenreparaturen durch ."
"A man with a safety vest is kneeling down and cleaning the bricks .","Ein Mann mit einer Schutzweste kniet sich hin und reinigt die Ziegel ."
"Workman are completing repairs on a city street .","Arbeiter führen Reparaturen auf einer städtischen Straße durch ."
"Man is standing on white sand and holding a snowboard .","Ein Mann steht auf weißem Sand und hält ein Snowboard ."
"A man in an orange vest standing atop a building .","Ein Mann in einer orangefarbenen Weste steht oben auf einem Gebäude ."
"A guy in a yellow shirt and light brown slacks is playing golf while the crowd watch .","Ein Mann in einem gelben Hemd und hellbraunen Hosen spielt Gold , während die Menschenmenge zusieht ."
"A young girl in a karate uniform holding a large trophy .","Ein Mädchen in einem Karateanzug hält eine große Trophäe ."
"A kid with floaters jumping into a lake .","Ein Kind mit Schwimmflügeln , das in einen See springt ."
"A woman in pink cuts a hamburger with a spatula .","Eine Frau ein Rosa schneidet einen Hamburger mit einem Bratenwender ."
"A boy in a dirty shirt is walking through knee @-@ high ocean water .","Ein Junge in einem schmutzigen Hemd geht durch knietiefes Meerwasser ."
"A man standing beside the back of a nude statue .","Ein Mann , der neben dem Rücken einer Aktskulptur steht ."
"A little toddler dressed in white is smiling while a lady helps him wave a flag .","Ein weiß gekleidetes Kleinkind lächelt , während eine Dame ihm hilft , eine Flagge zu schwenken ."
"A person stands on a structure on the lake .","Eine Person steht auf einem Bauwerk auf dem See ."
"A young man in a gray jacket stands behind the counter of a jewelery store and smiles .","Ein junger Mann in einer grauen Jacke steht hinter der Theke eines Juweliergeschäfts und lächelt ."
"People walking up and down the steps to a church .","Leute gehen die Treppe zu einer Kirche auf und ab ."
"A number of children enjoy themselves on the coast of a city .","Einige Kinder vergnügen sich am Strand einer Stadt ."
"A female works out near the ocean side .","Eine Frau arbeitet im Freien in der Nähe des Ozeans ."
"Two men are working on a carpentry project with hand tools .","Zwei Männer arbeiten mit Handwerkzeugen an einem Zimmereiprojekt ."
"A woman and two girls dressed in pink .","Eine Frau und zwei Mädchen , die rosa gekleidet sind ."
"A man in a black suit and briefcase hurrying somewhere , while talking on his cellphone .","Ein Mann in einem schwarzen Anzug und mit Brieftasche eilt irgendwo hin , während er am Handy spricht ."
"A brunette woman walking down a street with a cup .","Eine brünette Frau , die mit einer Tasse die Straße entlang geht ."
"A bald little boy holds a chicken while two men are sitting in the background .","Ein glatzköpfiger kleiner Junge hält ein Huhn , im Hintergrund sitzen zwei Männer ."
"A man sitting on a wall and looking at a body of water .","Ein Mann , der auf einer Wand sitzt und aufs Wasser blickt ."
"Two dogs run through the water with a rope in their mouths .","Zwei Hunde rennen mit einem Seil im Maul durch das Wasser ."
"A boy strolls by a pond in a park .","Ein Junge schlendert in einem Park an einem Teich vorbei ."
"Blond child with large black coat , multicolored scarf , and knit hat standing in front of a window .","Ein blondes Kind mit großem schwarzem Mantel , mehrfarbigem Schal und Strickmütze steht vor einem Fenster ."
"Brown dog with tennis ball in mouth , in water and bushes .","Ein brauner Hund mit einem Tennisball im Mund , in Wasser und Büschen ."
"Two brown dogs runs through the water .","Zwei brauen Hunden rennen durch das Wasser ."
"A girl blowing bubbles in the swimming pool .","Ein Mädchen macht im Schwimmbad Blasen ."
"A pile of seaweed sits on the sand , behind it a big black dog is running in the water .","Ein Haufen Algen liegt auf dem Sand , dahinter rennt ein großer schwarzer Hund ins Wasser ."
"A young boy runs while wearing sandals .","Ein Junge rennt in weißen Sandalen ."
"A brown and white dog stands outside while it snows .","Ein braun @-@ weißer Hund steht im Freien , während es schneit ."
"Someone working on a project using a jigsaw cutting machine .","Jemand arbeitet mit einer Dekupiersägemaschine an einem Projekt ."
"A women 's roller derby team taking a break .","Das Rollschuhderby @-@ Team einer Frau bei einer Pause ."
"A boy jumps from one bed to another .","Ein Junge springt von einem Bett zum anderen ."
"A man wearing a yellow shirt standing in the middle of two beds that a boy is jumping on in the background","Ein Mann , der ein gelbes Hemd trägt und in der Mitte von zwei Betten steht , auf denen im Hintergrund ein Junge springt ."
"A young man holding a huge chainsaw .","Ein junger Mann hält eine riesige Kettensäge ."
"A man on a motorcycle without a shirt and another man standing under shade .","Ein Mann auf einem Motorrad ohne Hemd und ein anderer Mann , der im Schatten steht ."
"Three people enter a building with a handwritten sign that says  Welcome Bikers . ","Drei Personen betreten ein Gebäude mit einen handgeschriebenen Schild , auf dem steht „ Welcome Bikers “ ."
"A man is putting up a wall .","Ein Mann stellt eine Wand auf ."
"A brown @-@ haired woman looks at a baby eating something .","Eine braunhaarige Frau blickt auf ein Baby , das etwas isst ."
"A line of people , some standing and some sitting , are waiting on a platform for a train .","Eine Reihe von Menschen , einige stehend und einige sitzend , warten auf einem Bahnsteig auf einen Zug ."
"Two skiers stand , two sit on slopes .","Zwei Skifahrer stehen , zwei sitzen auf Böschungen ."
"People strolling in a mall with colorful decorations hanging from the ceiling .","Leute schlendern in einem Einkaufszentrum , in dem bunte Dekorationen von der Decke hängen ."
"A female blacksmith is shoeing a horse .","Eine Schmiedin beschlägt ein Pferd ."
"The child in the green one piece suit is walking past a store window .","Das Kind im grünen Einteiler läuft an einem Ladenfenster vorüber ."
"A group of girls are cheering .","Eine Mädchengruppe jubelt ."
"A man is inside a truck looking out with his left arm in front of a door .","Ein Mann ist in einem Lastwagen und schaut heraus , sein linker Arm vor einer Tür ."
"A child getting out of the car wearing soccer shoes .","Ein Kind , das auf dem Auto kommt und Fußballschuhe trägt ."
"A white , young man in dreadlocks and a green kilt is sitting on a couch smiling .","Ein weißer , junger Mann mit Dreadlocks und einem grünen Kilt sitzt auf einer Couch und lächelt ."
"A man in a blue shirt is kissing a woman with blond @-@ hair on the cheek .","Ein Mann in einem blauen Hemd küsst eine Frau mit blonden Haaren auf die Wange ."
"A man and women are posing for the camera and looking very happy together .","Ein Mann und eine Frau posieren für die Kamera und sehen zusammen sehr glücklich aus ."
"Two children play on the path in a park .","Zwei Kinder spielen in einem Park auf dem Pfad ."
"A very colorful bus is pulled off to the side of the road as its passengers load .","Ein sehr farbenfroher Bus steht am Straßenrand , während die Passagiere zusteigen ."
"A smiling woman holds a person dressed in a pig costume .","Eine lächelnde Frau hält eine Person , die ein Schweinekostüm trägt ."
"A woman wearing a blue helmet rides her bicycle in a parking lot .","Eine Frau mit einem blauen Helm fährt auf einem Parkplatz Fahrrad ."
"A little girl wearing a green dress is standing in front of puddle .","Ein kleines Mädchen mit einem grünen Kleid steht vor einer Pfütze ."
"A man wearing a helmet riding his bicycle down the street .","Ein Mann mit einem Helm fährt mit dem Fahrrad die Straße entlang ."
"Young boy and an older man waiting to check out .","Ein Junge und ein älterer Mann , die aufs Auschecken warten ."
"Two people take in the scene as they stand together looking out over the canyon .","Zwei Personen stehen beieinander , blicken über die Schlucht und lassen den Anblick auf sich wirken ."
"A lady wearing a helmet holding a bike .","Eine Dame , die einen Helm trägt und ein Fahrrad hält ."
"A young man standing in front of a red freight car holding a camera and taking a photo .","Ein junger Mann , der vor einem roten Güterwaggon steht , eine Kamera hält und ein Foto macht ."
"A person in blue shorts and wearing a Walkman jogs .","Eine Person in blauen Shorts , die einen Walkman trägt , joggt ."
"A man and a woman play on a tree while others look on .","Ein Mann und eine Frau spielen auf einem Baum , während andere zusehen ."
"A group of young people are in a garage","Eine Gruppe junger Menschen ist in einer Werkstatt ."
"Three men are looking at a sign on a cross in a canyon .","Drei Männer blicken auf ein Zeichen auf einem Kreuz in einer Schlucht ."
"A young lady sits in front of a fence with a bucket .","Eine junge Dame sitzt vor einem Zaun mit einem Eimer ."
"The woman tries to hide from work under a black sweatshirt , but her red corduroy pants give her away .","Die Frau versucht , sich unter einem schwarzen Sweatshirt vor der Arbeit zu verstehen , aber ihre roten Cordhosen verraten sie ."
"A young man cleaning a statue with a brush .","Ein junger Mann , der mit einer Bürste eine Statue reinigt ."
"Two young men clutch rags in their hands as a elderly man tells them how to clean the large cross .","Zwei junge Männer halten Lappen in ihren Händen , während ihnen ein älterer Mann erklärt , wie sie das große Kreuz reinigen sollen ."
"A woman sits on a man 's shoulders using a heavy brush as a hammer .","Eine Frau sitzt einem Mann auf den Schultern und benutzt eine schwere Bürste als Hammer ."
"Group setting up a wooden cross near a large boulder .","Eine Gruppe stellt in der Nähe eines großen Felsblocks ein Holzkreuz auf ."
"A young boy picks up a paintbrush and grins .","Ein Junge hebt einen Pinsel auf und grinst ."
"Four men in white shirts and baseball caps sitting around a table .","Vier Männer in weißen Hemden und Baseballmützen sitzen um einen Tisch ."
"A boy looking at a chopped log .","Ein Junge blickt auf einen zerkleinerten Baumstamm ."
"Man with gray hair telling a story to a group of younger people on a bench .","Ein Mann mit grauem Haar erzählt einer Gruppe jüngerer Leute auf einer Bank eine Geschichte ."
"Two people are standing in a field holding some books .","Zwei Personen stehen in einem Feld und halten ein paar Bücher ."
"A person doing a skateboard flip next to a black trashcan .","Eine Person neben einer schwarzen Mülltonne , die einen Skateboard @-@ Flip macht ."
"A man standing on a railroad track looking through his binoculars at a river .","Ein Mann , der auf einer Eisenbahnschiene steht und durch sein Fernglas auf einen Fluss blickt ."
"Numerous people sitting on the ground near a straw hut .","Zahlreiche Menschen , die in der Nähe einer Strohhütte auf dem Boden sitzen ."
"A kid may be playing soccer while in a suit .","Ein Kind in einem Anzug spielt so etwas wie Fußball ."
"People on bicycles waiting at an intersection .","Personen auf Fahrrädern , die an einer Kreuzung warten ."
"A construction worker is building scaffolding for the job .","Ein Bauarbeiter baut ein Gerüst für seine Arbeit ."
"A little baby dressed in green and yellow wearing a bib cries .","Ein kleines Baby , das in Grün und Gelb gekleidet ist und einen Latz trägt , weint ."
"A shirtless man leading a horse that is pulling a carriage .","Ein Mann mit nacktem Oberkörper führt ein Pferd , das einen Wagen zieht ."
"A guy standing outside with no shirt on looking up at the building .","Ein Mann , der ohne Hemd im Freien steht und zu dem Gebäude hochblickt ."
"The young girl is swinging high above the ground on a nice summer day .","Das Mädchen schaukelt an einem schönen Sommertag hoch über dem Boden ."
"A young man does a skateboard trick off of a concrete bench .","Ein junger Mann führt von einer Betonbank aus eine Skateboard @-@ Nummer vor ."
"The man is holding the net for the boy playing baseball .","Der Mann hält das Netz für den Jungen , der Baseball spielt ."
"An Elderly man crouches to lift the covering off the grill wear several shish kabab are grilling .","Ein älterer Mann geht in die Hocke , um die Abdeckung des Grills hochzuheben , wo mehrere Shish Kebabs gegrillt werden ."
"A man wearing a black shirt and goggles is running along the street","Ein Mann mit schwarzem Hemd und Brille rennt die Straße entlang ."
"A five person surgical team is about to perform an operation in a hospital .","Ein aus fünf Personen bestehendes OP @-@ Team in einem Krankenhaus ist kurz davor , eine Operation durchzuführen ."
"A boy standing at the beach holding a blue pale and a green shovel .","Ein Junge , der am Strand steht und einen blauen Pfosten und eine grüne Schaufel hält ."
"A small girl spins in the waves in the bright sun .","Ein kleines Mädchen dreht sich in den Wellen in der hellen Sonne ."
"Three people sitting outside on small rocks behind a big bush , wearing long pants .","Drei Personen mit langen Hosen sitzen im Freien auf kleinen Steinen hinter einem großen Busch ."
"A man with a pitchfork stands near a bucket of branches across from an apartment complex .","Ein Mann mit einer Mistgabel steht bei einem Eimer mit Zweigen gegenüber einem Apartmentkomplex ."
"A groundskeeper has collected a bucket full of sticks .","Ein Platzwart hat einen Eimer voller Stöcke gesammelt ."
"Black and white dog looking at camera with man bent over in the background .","Ein schwarz @-@ weißer Hund , der in die Kamera blickt , mit einem gebückten Mann im Hintergrund ."
"A man wearing suspenders in standing on a train .","Ein Mann mit Hosenträgern , der auf einem Zug steht ."
"Two men and two women are preparing a large meal in the kitchen .","Zwei Männer und zwei Frauen bereiten in der Küche ein großes Essen zu ."
"Girl learning about animals at the zoo .","Ein Mädchen , das im Zoo etwas über Tiere lernt ."
"A group of friends are fishing off the loading ramp","Eine Gruppe von Freunden , die von der Laderampe aus fischen ."
"A mother and son read a book about dinosaurs together .","Eine Mutter und ein Sohn lesen zusammen ein Buch über Dinosaurier ."
"Two women , sitting at a table , with a green straw inside of a drink .","Zwei Frauen , die an einem Tisch sitzen , mit einem grünen Strohhalm in einem Getränk ."
"A little boy in overalls crying .","Ein kleiner Junge in Latzhosen , der schreit ."
"Three men are setting up a sledge on a snowy plain .","Drei Männer richten auf einer verschneiten Ebene einen Schlitten ."
"A person is sitting behind two large baskets of bread .","Eine Person sitzt hinter zwei großen Brotkörben ."
"A man in an pilot uniform is walking down the sidewalk carrying luggage .","Ein Mann in einer Pilotenuniform geht mit Gepäck den Bürgersteig entlang ."
"People walking along a river near a beautiful homestead .","Leute gehen in der Nähe eines schönen Gehöfts einen Fluss entlang ."
"A female swimmer wearing a swim cap and nose clips moves slowly through the water is seen from below .","Eine Schwimmerin mit Bademütze und Nasenklemmen , die sich langsam durch das Wasser bewegt , von oben gesehen ."
"Four men sitting and working on laptops .","Vier sitzende Männer arbeiten an Laptops ."
"A man in a baseball cap cleans out a blue colored pit outside where colorful Christmas lights hang above him .","Ein Mann mit Baseballkappe reinigt im Freien eine blaue Grube , über ihm hängen bunte Weihnachtslichter ."
"A girl sleeping with a baby doll wearing a princess costume","Ein Mädchen schläft mit einer Babypuppe mit Prinzessinnenkostüm ."
"A female washes her medium @-@ sized dog outdoors in a plastic container while a friend secures it with a leash .","Eine weibliche Person wäscht ihren mittelgroßen Hund im Freien in einem Kunststoffbehälter , während ein Freund ihn an einer Leine sichert ."
"A kid jumping into a pool of water .","Ein Kind , das in eine Wasserlache springt ."
"Child in black jacket , red pants and fleece had sleeps on a red jacket .","Ein Kind in schwarzer Jacke , roten Hosen und Fellmütze schläft auf einer roten Jacke ."
"The old man in the brown hat is sitting on the bench .","Der alte Mann mit dem braunen Hut sitzt auf der Bank ."
"Three kids on a grass field , one of them searching for food in her mom 's purse .","Drei Kinder auf einer Wiese , von denen eines in der Tasche seiner Mutter nach etwas zu essen sucht ."
"A black man operates an orange crane .","Ein schwarzer Mann bedient einen orangefarbenen Kran ."
"Three girls walk under an arbor on a path surrounded by trees .","Drei Mädchen gehen unter einer Laube einen von Bäumen umgebenen Pfad entlang ."
"A beach is full of many people .","Ein Strand ist voller Menschen ."
"People are gathered around and walking buy a display of clothing and other items .","Menschen sammeln sich um ausgestellte Kleidung und andere Artikel und gehen daran vorbei ."
"Man paddling a boat on a river near the bank .","Ein Mann , der ein Boot auf dem Fluss in der Nähe des Ufers mit Paddeln vorwärtsbewegt ."
"Two women stand together holding a pot and a pan of food .","Zwei Frauen stehen zusammen und halten einen Topf und eine Pfanne mit Essen ."
"A young girl wearing yellow flip @-@ flops is sitting on a large boulder .","Ein junges Mädchen mit gelben Flipflops sitzt auf einem großen Findling ."
"Blond woman driving a red bicycle carriage holds the tip of her hat and poses for the camera with a customer seated in the back .","Eine blonde Frau , die eine rote Fahrradkutsche fährt , hält die Spitze ihres Huts und posiert für die Kamera , während ein Kunde im hinteren Teil der Kutsche sitzt ."
"A young boy in a flowered apron is helping his mother cook .","Ein Junge in einer geblümten Schürze hilft seiner Mutter beim Kochen ."
"A young man is presenting another woman with a cake with three candles on top .","Ein junger Mann präsentiert einer anderen Frau einen Kuchen mit drei Kerzen darauf ."
"The woman with the hat is selling some fruits and root crops .","Die Frau mit dem Hut verkauft Obst und Wurzelgemüse ."
"Person wearing a hooded jacket sitting on snow in front of a yellow tent .","Eine Person mit Kapuzenjacke , die vor einem gelben Zelt im Schnee sitzt ."
"Two dogs are wrestling in a grassy field .","Zwei Hunde balgen sich auf einer Wiese ."
"A man in a safety vest is kneeling down and working on a train .","Ein Mann mit einer Schutzweste kniet sich hin und arbeitet an einem Zug ."
"Five construction workers dig a hole to plant a tree .","Fünf Bauarbeiter graben ein Loch , um einen Baum zu pflanzen ."
"A man in a red shirt is giving toys to a small dog .","Ein Mann in einem roten Hemd gibt einem kleinen Hund Spielzeuge ."
"Old lady sitting in a room full of flowers .","Eine alte Dame , die in einem Raum voller Blumen sitzt ."
"5 athletes wearing white tops and white bottoms are doing a routine for an audience .","5 Athleten mit weißen Tops und weißen Hosen führen einem Publikum etwas vor ."
